# ZAP Baseline Scan Rule Overrides
# Format: rule_id	action	description
# Actions: IGNORE (skip), WARN (report but don't fail), FAIL (report and fail)
#
# These rules are tuned for console.kubestellar.io which is a Netlify-hosted
# React SPA with a Go backend API proxy.

# CSP headers are managed by Netlify CDN — false positive on SPA routes
10038	WARN	Content Security Policy (CSP) Header Not Set

# X-Content-Type-Options may vary by Netlify edge node
10021	WARN	X-Content-Type-Options Header Missing

# SPA returns 200 for all routes (client-side routing)
10010	IGNORE	Cookie No HttpOnly Flag

# Informational findings — too noisy for nightly
10049	IGNORE	Storable and Cacheable Content
10050	IGNORE	Retrieved from Cache
10109	IGNORE	Modern Web Application

# CSP 'unsafe-eval' / 'unsafe-inline' — DOCUMENTED EXCEPTION (#6318)
#
# Both unsafe directives are intentional tradeoffs documented in
# netlify.toml:148-168 and reviewed against the following constraints:
#
#   * script-src 'unsafe-eval' is required by the Tier 2 dynamic-cards
#     feature — web/src/lib/dynamic-cards/compiler.ts uses `new Function()`
#     to compile user-authored card modules at runtime. Removing
#     'unsafe-eval' disables dynamic cards entirely.
#
#   * style-src 'unsafe-inline' is required because React renders
#     `style={{}}` props as inline HTML style attributes. Removing it
#     would require rewriting every inline style across the component
#     tree (dozens of components).
#
# Compensating controls already in place:
#   - Strict CSP for every other directive — no 'unsafe-*' for
#     connect-src, img-src, object-src, base-uri, form-action, etc.
#   - Explicit host allowlists for every third party (no scheme wildcards,
#     no broad host globs).
#   - The dynamic cards compiler runs untrusted code in a scoped scope
#     with module-shape validation before execution.
#
# ZAP rule 10055 raises a sub-alert per unsafe directive; IGNORE
# collapses them. Re-audit annually or whenever the dynamic-cards
# feature changes. Nightly DAST #6318 was closed under this exception.
10055	IGNORE	CSP (intentional unsafe-eval/unsafe-inline — see netlify.toml:148-168)
